instance,time
APL,7.70242886542
APL-Model,125.72247095105999
BankingSoftware,4361.703720092761
BattleofTanks,10228.57499070168
ChatClient,8.6469382286
DMIE,379.03372044562
E-Shop,1118.5617328167198
EMBToolkit,3717.5180935383
FameDB,4.2402451038599995
FeatureIDE,17.513145017619998
FreeBSD-8_0_0,8722.08371372222
PPU,18.89450640676
SafeBali,0.0637087345
SortingLine,52.75808072088
TightVNC,155.61631913184
Violet,2447.4821363449005
WaterlooGenerated,415.45269236563996
XSEngine,4867.334571886041
aaed2000,6177.06036958694
am31_sim,4542.73758296966
atlas_mips32_4kc,6060.70118899344
axTLS,76.65204787254
berkeleyDB1,504.3940833091799
berkeleyDB2,636.14046964646
busybox-1_18_0,1330.3022731781
busybox-1_29_2,2388.1086673259597
busybox_2007-01-24_09-14-09,806.37135629656
busybox_2020-12-16_21-53-05,3958.3884557723995
calculate,0.06459288598
car,0.051857709880000005
dell,111.30815763474001
eCos-3-0_i386pc,7138.3072210312
ea2468,5179.09095096588
email,0.0901720524
fiasco_2017-09-26_11-30-56,5408.9007958412
fiasco_2020-12-01_14-09-14,1943.80882148742
financial_services,9014.047601985942
fs_2017-05-22,557.03000602722
gpl,18.33692455292
integrator_arm7,5691.330893611919
lcm,0.05173459054
soletta_2015-06-26_18-38-56,121.70638775825999
toybox_2006-10-31_23-30-06,5.79155125618
toybox_2020-12-06_00-02-46,3146.6127230644397
uclibc_2008-06-05_13-46-47,572.8972084522401
uclibc_2020-12-24_11-54-53,343.50499401092
